# time(ps) Nwater Force (pN) Pressure Dif (atm) 
10 154 10701.921999999999 23059.876038020077
20 162 11257.866 24257.791676358785
30 155 10771.414999999999 23209.615492812416
40 155 10771.414999999999 23209.615492812416
50 155 10771.414999999999 23209.615492812416
60 153 10632.429 22910.13658322774
70 156 10840.908 23359.354947604756
80 154 10701.921999999999 23059.876038020077
90 156 10840.908 23359.354947604756
100 155 10771.414999999999 23209.615492812416
110 161 11188.373 24108.052221566446
120 156 10840.908 23359.354947604756
130 160 11118.88 23958.312766774106
140 155 10771.414999999999 23209.615492812416
150 158 10979.893999999998 23658.83385718943
160 156 10840.908 23359.354947604756
170 156 10840.908 23359.354947604756
180 150 10423.949999999999 22460.918218850726
190 154 10701.921999999999 23059.876038020077
200 154 10701.921999999999 23059.876038020077
210 160 11118.88 23958.312766774106
220 157 10910.401 23509.09440239709
230 165 11466.345 24707.010040735797
240 152 10562.936 22760.397128435405
250 157 10910.401 23509.09440239709
260 149 10354.456999999999 22311.178764058386
270 151 10493.443 22610.65767364306
280 145 10076.484999999999 21712.22094488903
290 162 11257.866 24257.791676358785
300 159 11049.386999999999 23808.573311981767
310 160 11118.88 23958.312766774106
320 150 10423.949999999999 22460.918218850726
330 151 10493.443 22610.65767364306
340 149 10354.456999999999 22311.178764058386
350 156 10840.908 23359.354947604756
360 166 11535.838 24856.749495528136
370 150 10423.949999999999 22460.918218850726
380 156 10840.908 23359.354947604756
390 165 11466.345 24707.010040735797
400 163 11327.358999999999 24407.531131151118
410 160 11118.88 23958.312766774106
420 156 10840.908 23359.354947604756
430 156 10840.908 23359.354947604756
440 161 11188.373 24108.052221566446
450 153 10632.429 22910.13658322774
460 153 10632.429 22910.13658322774
470 162 11257.866 24257.791676358785
480 160 11118.88 23958.312766774106
490 156 10840.908 23359.354947604756
500 146 10145.978 21861.960399681375
510 160 11118.88 23958.312766774106
520 154 10701.921999999999 23059.876038020077
530 152 10562.936 22760.397128435405
540 166 11535.838 24856.749495528136
550 155 10771.414999999999 23209.615492812416
560 159 11049.386999999999 23808.573311981767
570 156 10840.908 23359.354947604756
580 148 10284.964 22161.43930926605
590 157 10910.401 23509.09440239709
600 149 10354.456999999999 22311.178764058386
610 154 10701.921999999999 23059.876038020077
620 160 11118.88 23958.312766774106
630 152 10562.936 22760.397128435405
640 155 10771.414999999999 23209.615492812416
650 154 10701.921999999999 23059.876038020077
660 162 11257.866 24257.791676358785
670 151 10493.443 22610.65767364306
680 158 10979.893999999998 23658.83385718943
690 157 10910.401 23509.09440239709
700 154 10701.921999999999 23059.876038020077
710 160 11118.88 23958.312766774106
720 156 10840.908 23359.354947604756
730 161 11188.373 24108.052221566446
740 158 10979.893999999998 23658.83385718943
750 154 10701.921999999999 23059.876038020077
760 155 10771.414999999999 23209.615492812416
770 152 10562.936 22760.397128435405
780 156 10840.908 23359.354947604756
790 157 10910.401 23509.09440239709
800 152 10562.936 22760.397128435405
810 152 10562.936 22760.397128435405
820 156 10840.908 23359.354947604756
830 160 11118.88 23958.312766774106
840 163 11327.358999999999 24407.531131151118
850 155 10771.414999999999 23209.615492812416
860 152 10562.936 22760.397128435405
870 155 10771.414999999999 23209.615492812416
880 152 10562.936 22760.397128435405
890 161 11188.373 24108.052221566446
900 155 10771.414999999999 23209.615492812416
910 153 10632.429 22910.13658322774
920 152 10562.936 22760.397128435405
930 163 11327.358999999999 24407.531131151118
940 158 10979.893999999998 23658.83385718943
950 151 10493.443 22610.65767364306
960 152 10562.936 22760.397128435405
970 166 11535.838 24856.749495528136
980 154 10701.921999999999 23059.876038020077
990 162 11257.866 24257.791676358785
1000 155 10771.414999999999 23209.615492812416
