0 -4685.3503
5000 -5231.0904
10000 -5172.6227
15000 -5215.7190
20000 -5144.8383
25000 -5143.2075
30000 -5251.3440
35000 -5202.2409
40000 -5227.6929
45000 -5175.7044
50000 -5217.3251
55000 -5248.4573
60000 -5181.4181
65000 -5243.5176
70000 -5226.3226
75000 -5162.1454
80000 -5220.7499
85000 -5231.3671
90000 -5158.6693
95000 -5197.2906
100000 -5145.4764
105000 -5199.3098
110000 -5219.5935
115000 -5203.8044
120000 -5127.1965
125000 -5153.3825
130000 -5174.3413
135000 -5212.9160
140000 -5179.1500
145000 -5212.6918
150000 -5219.8232
155000 -5182.2762
160000 -5204.7982
165000 -5217.7844
170000 -5226.5184
175000 -5247.1721
180000 -5337.9041
185000 -5257.1353
190000 -5211.0136
195000 -5229.2040
200000 -5260.1507
205000 -5197.8343
210000 -5189.2947
215000 -5254.2745
220000 -5209.3225
225000 -5227.5192
230000 -5202.7812
235000 -5236.4734
240000 -5217.6871
245000 -5170.4695
250000 -5222.0917
255000 -5203.8646
260000 -5117.1019
265000 -5193.1193
270000 -5260.4684
275000 -5286.2117
280000 -5169.3745
285000 -5178.8865
290000 -5176.4039
295000 -5218.0657
300000 -5211.0531
305000 -5210.9682
310000 -5063.0472
315000 -5221.6463
320000 -5238.3344
325000 -5169.7637
330000 -5285.7269
335000 -5244.7629
340000 -5254.8539
345000 -5236.1246
350000 -5199.6918
355000 -5220.3207
360000 -5177.6902
365000 -5213.0025
370000 -5216.1401
375000 -5237.3370
380000 -5178.2293
385000 -5217.3039
390000 -5264.1367
395000 -5192.1350
400000 -5188.4442
405000 -5226.2560
410000 -5265.4759
415000 -5194.4932
420000 -5224.9178
425000 -5159.9095
430000 -5217.1054
435000 -5268.3865
440000 -5221.1814
445000 -5220.2397
450000 -5244.3757
455000 -5183.1835
460000 -5255.6221
465000 -5241.8562
470000 -5256.0855
475000 -5182.4504
480000 -5192.6649
485000 -5147.7751
490000 -5175.9565
495000 -5246.9568
500000 -5175.5017

